case_id,e1,e2,e3,t1,t2,t3,total_thickness,peak_downward_uz,peak_downward_abs,mean_patch_uz,mean_patch_abs,pinn_eval_seconds,n_eval_points
random_interior_207,4.1017075,6.2388866,9.7682296,0.05619087,0.058680417,0.099568106,0.21443939,-0.07775061562,0.07775061562,-0.05904674629,0.05904674629,0.000765,441
random_interior_462,7.1276099,8.3246808,5.4098262,0.042128078,0.095605115,0.089180504,0.2269137,-0.0801085511,0.0801085511,-0.05903724717,0.05903724717,0.000793,441
random_interior_043,8.0347227,8.4240845,5.8405735,0.071484468,0.047671444,0.095327968,0.21448388,-0.08172047692,0.08172047692,-0.06148482981,0.06148482981,0.001474,441
random_interior_120,3.9361662,7.7819833,7.7355625,0.073600781,0.092862209,0.052592638,0.21905563,-0.08257406003,0.08257406003,-0.06291194568,0.06291194568,0.000830,441
random_interior_431,5.8155287,4.3321518,6.6470161,0.057594491,0.072320746,0.096753094,0.22666833,-0.08307639491,0.08307639491,-0.06237155868,0.06237155868,0.000792,441
random_interior_048,6.222145,6.9137705,5.5571756,0.05055668,0.076282864,0.088882521,0.21572206,-0.08314829833,0.08314829833,-0.06296835513,0.06296835513,0.001235,441
random_interior_391,9.0566523,8.1926211,8.6109081,0.092795813,0.020323258,0.092271765,0.20539084,-0.08333965789,0.08333965789,-0.06059749534,0.06059749534,0.000783,441
random_interior_276,6.6261108,6.1195425,8.7081854,0.048899726,0.052146367,0.07336515,0.17441124,-0.0834057763,0.0834057763,-0.0654937061,0.0654937061,0.000766,441
random_interior_475,5.9417922,5.7951789,4.0887522,0.088616998,0.075451497,0.082906414,0.24697491,-0.08356023053,0.08356023053,-0.06119268476,0.06119268476,0.000780,441
random_interior_437,8.5158423,6.1740386,5.5737951,0.094697791,0.055004562,0.095269352,0.24497171,-0.08368264339,0.08368264339,-0.05903860387,0.05903860387,0.000810,441
random_interior_109,6.7333265,3.4356208,7.6500207,0.081700086,0.081890197,0.099825666,0.26341595,-0.08447587437,0.08447587437,-0.06019597272,0.06019597272,0.000913,441
random_interior_073,8.5692212,7.6126713,7.1647096,0.073860832,0.058570802,0.039332714,0.17176435,-0.08462215315,0.08462215315,-0.06651841411,0.06651841411,0.001074,441
random_interior_165,7.2347111,8.8699495,9.617308,0.088838728,0.035406651,0.056566903,0.18081228,-0.08463811687,0.08463811687,-0.06486717272,0.06486717272,0.000885,441
random_interior_141,5.7979576,7.7517391,9.013435,0.050785592,0.066709527,0.057217322,0.17471244,-0.08563300961,0.08563300961,-0.06722631007,0.06722631007,0.000794,441
random_interior_076,9.5474899,7.4770735,5.6291198,0.076190958,0.051711435,0.051298673,0.17920107,-0.08576534291,0.08576534291,-0.06699191449,0.06699191449,0.000963,441
random_interior_260,6.0970002,6.5415012,7.6477727,0.087955631,0.050532004,0.057619292,0.19610693,-0.0858968682,0.0858968682,-0.06584639896,0.06584639896,0.000921,441
random_interior_090,6.8540721,7.1152317,3.7970768,0.089567805,0.067032249,0.07622184,0.23282189,-0.08621545599,0.08621545599,-0.06396646746,0.06396646746,0.000938,441
random_interior_012,7.2758339,5.1416783,6.3550479,0.081747585,0.036597808,0.087203201,0.20554859,-0.08633493468,0.08633493468,-0.06554554912,0.06554554912,0.001554,441
random_interior_432,6.9449045,3.8570556,5.5761479,0.073734866,0.08817099,0.065370892,0.22727675,-0.08635976149,0.08635976149,-0.06494992042,0.06494992042,0.000798,441
random_interior_247,8.296078,4.8911825,6.0079169,0.060707304,0.047907083,0.0871857,0.19580009,-0.08759738944,0.08759738944,-0.06743383407,0.06743383407,0.000775,441
random_interior_087,7.9547624,4.123717,8.1471145,0.092144062,0.027417003,0.083916532,0.2034776,-0.08802785546,0.08802785546,-0.06546449384,0.06546449384,0.000939,441
random_interior_266,4.7557511,8.6078209,4.7903026,0.084166615,0.072264673,0.070385775,0.22681706,-0.08809627479,0.08809627479,-0.06654288921,0.06654288921,0.000772,441
random_interior_215,7.5275686,5.7776509,9.5761105,0.047051007,0.067837808,0.05196845,0.16685727,-0.08818499509,0.08818499509,-0.06929576951,0.06929576951,0.000782,441
random_interior_423,6.1077769,2.3213393,8.4037778,0.065588603,0.064442228,0.095685716,0.22571655,-0.08834333459,0.08834333459,-0.06652989364,0.06652989364,0.000898,441
random_interior_117,9.1765785,6.3155081,5.7771492,0.096028424,0.089813001,0.041669991,0.22751142,-0.0886292786,0.0886292786,-0.06268094562,0.06268094562,0.000815,441
random_interior_307,6.5084753,2.694779,8.3496952,0.080914909,0.042930555,0.079377473,0.20322294,-0.08890098476,0.08890098476,-0.06805972616,0.06805972616,0.000798,441
random_interior_342,9.8272534,5.0258046,8.0477759,0.048873938,0.053049662,0.061800997,0.1637246,-0.08944403778,0.08944403778,-0.07042787211,0.07042787211,0.000894,441
random_interior_190,3.1253045,8.498476,8.5073481,0.069023706,0.077128859,0.065171441,0.21132401,-0.08954105708,0.08954105708,-0.06886760004,0.06886760004,0.000774,441
random_interior_273,7.1013305,4.0338147,7.5505234,0.074452752,0.085060259,0.040634401,0.20014741,-0.0905861253,0.0905861253,-0.06946944521,0.06946944521,0.000770,441
