L-BFGS Step 33: Total Loss: 1.836394e+02 | PDE: 6.844618e-01 | BC_sides: 1.552156e-03 | Free_top: 1.665787e-01 | Free_bot: 1.074452e-01 | Load: 8.372980e-02 | Energy: -3.024860e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 4.842169e-03 | ImpactInv: 0.000000e+00 | Time: 0.5182s
L-BFGS Step 34: Total Loss: 1.828540e+02 | PDE: 7.115967e-01 | BC_sides: 1.546485e-03 | Free_top: 1.527893e-01 | Free_bot: 1.214124e-01 | Load: 8.471926e-02 | Energy: -3.024115e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 5.827329e-03 | ImpactInv: 0.000000e+00 | Time: 0.5192s
L-BFGS Step 35: Total Loss: 1.822428e+02 | PDE: 7.909437e-01 | BC_sides: 1.510450e-03 | Free_top: 1.541202e-01 | Free_bot: 1.309737e-01 | Load: 8.482495e-02 | Energy: -2.980319e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.509799e-03 | ImpactInv: 0.000000e+00 | Time: 0.5190s
L-BFGS Step 36: Total Loss: 1.818128e+02 | PDE: 7.745749e-01 | BC_sides: 1.494531e-03 | Free_top: 1.486743e-01 | Free_bot: 1.297456e-01 | Load: 8.507565e-02 | Energy: -3.003452e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.649054e-03 | ImpactInv: 0.000000e+00 | Time: 0.5182s
L-BFGS Step 37: Total Loss: 1.814082e+02 | PDE: 7.431365e-01 | BC_sides: 1.468712e-03 | Free_top: 1.506495e-01 | Free_bot: 1.243975e-01 | Load: 8.293940e-02 | Energy: -3.046026e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.707822e-03 | ImpactInv: 0.000000e+00 | Time: 0.5202s
L-BFGS Step 38: Total Loss: 1.806762e+02 | PDE: 7.182270e-01 | BC_sides: 1.436152e-03 | Free_top: 1.416015e-01 | Free_bot: 1.230230e-01 | Load: 8.330075e-02 | Energy: -3.092400e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.754116e-03 | ImpactInv: 0.000000e+00 | Time: 0.5211s
L-BFGS Step 39: Total Loss: 1.799793e+02 | PDE: 7.326962e-01 | BC_sides: 1.374659e-03 | Free_top: 1.346615e-01 | Free_bot: 1.199161e-01 | Load: 8.557595e-02 | Energy: -3.058036e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.045398e-03 | ImpactInv: 0.000000e+00 | Time: 0.5208s
L-BFGS Step 40: Total Loss: 1.790008e+02 | PDE: 8.086704e-01 | BC_sides: 1.314782e-03 | Free_top: 1.365061e-01 | Free_bot: 1.350103e-01 | Load: 8.735326e-02 | Energy: -2.999434e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 8.471000e-03 | ImpactInv: 0.000000e+00 | Time: 0.7792s
L-BFGS Step 41: Total Loss: 1.786491e+02 | PDE: 7.989951e-01 | BC_sides: 1.305067e-03 | Free_top: 1.236697e-01 | Free_bot: 1.389021e-01 | Load: 9.608762e-02 | Energy: -2.997329e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.939078e-03 | ImpactInv: 0.000000e+00 | Time: 0.5218s
L-BFGS Step 42: Total Loss: 1.782577e+02 | PDE: 8.297460e-01 | BC_sides: 1.283240e-03 | Free_top: 1.252271e-01 | Free_bot: 1.440991e-01 | Load: 9.834559e-02 | Energy: -2.898047e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 8.306893e-03 | ImpactInv: 0.000000e+00 | Time: 0.5211s
