L-BFGS Step 31: Total Loss: 1.893694e+02 | PDE: 3.087506e-01 | BC_sides: 1.584910e-03 | Free_top: 4.862951e-02 | Free_bot: 4.082359e-02 | Load: 1.078954e-01 | Energy: -3.476594e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.719262e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.802579e-01 | Time: 0.5161s
L-BFGS Step 32: Total Loss: 1.891675e+02 | PDE: 3.114648e-01 | BC_sides: 1.574370e-03 | Free_top: 4.936369e-02 | Free_bot: 3.928034e-02 | Load: 1.074704e-01 | Energy: -3.511758e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.686485e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.797238e-01 | Time: 0.5297s
L-BFGS Step 33: Total Loss: 1.889742e+02 | PDE: 3.343095e-01 | BC_sides: 1.548998e-03 | Free_top: 5.123303e-02 | Free_bot: 3.965253e-02 | Load: 1.070849e-01 | Energy: -3.547880e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.986580e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.786379e-01 | Time: 0.5196s
L-BFGS Step 34: Total Loss: 1.887356e+02 | PDE: 3.293793e-01 | BC_sides: 1.550205e-03 | Free_top: 5.129689e-02 | Free_bot: 3.865521e-02 | Load: 1.068407e-01 | Energy: -3.566757e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 2.005703e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.785754e-01 | Time: 0.5188s
L-BFGS Step 35: Total Loss: 1.885955e+02 | PDE: 3.423341e-01 | BC_sides: 1.531659e-03 | Free_top: 5.279445e-02 | Free_bot: 3.923885e-02 | Load: 1.061591e-01 | Energy: -3.573173e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 2.167733e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.776861e-01 | Time: 0.5194s
L-BFGS Step 36: Total Loss: 1.882566e+02 | PDE: 3.710050e-01 | BC_sides: 1.502936e-03 | Free_top: 5.556551e-02 | Free_bot: 4.195132e-02 | Load: 1.050725e-01 | Energy: -3.556304e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 2.406822e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.762871e-01 | Time: 0.5189s
L-BFGS Step 37: Total Loss: 1.878632e+02 | PDE: 4.326276e-01 | BC_sides: 1.456458e-03 | Free_top: 6.094082e-02 | Free_bot: 4.697542e-02 | Load: 1.045159e-01 | Energy: -3.564045e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.034972e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.738683e-01 | Time: 0.5532s
L-BFGS Step 38: Total Loss: 1.874227e+02 | PDE: 4.029336e-01 | BC_sides: 1.458195e-03 | Free_top: 6.013204e-02 | Free_bot: 4.054621e-02 | Load: 1.042219e-01 | Energy: -3.593133e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 2.599740e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.736656e-01 | Time: 0.5450s
L-BFGS Step 39: Total Loss: 1.871582e+02 | PDE: 4.290631e-01 | BC_sides: 1.447942e-03 | Free_top: 6.176124e-02 | Free_bot: 4.576452e-02 | Load: 1.044997e-01 | Energy: -3.564166e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 2.756814e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.732663e-01 | Time: 0.5377s
L-BFGS Step 40: Total Loss: 1.870381e+02 | PDE: 4.354700e-01 | BC_sides: 1.440564e-03 | Free_top: 6.208909e-02 | Free_bot: 4.685246e-02 | Load: 1.046721e-01 | Energy: -3.549939e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 2.777872e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.729946e-01 | Time: 0.5380s
