L-BFGS Step 40: Total Loss: 3.975633e-01 | PDE: 2.309865e-03 | BC_sides: 5.434502e-05 | Free_top: 6.480690e-03 | Free_bot: 1.393411e-02 | Load: 1.369313e-02 | Energy: -2.391433e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.475362e-04 | ImpactInv: 0.000000e+00 | Time: 0.5396s
L-BFGS Step 41: Total Loss: 3.974902e-01 | PDE: 2.296949e-03 | BC_sides: 5.424498e-05 | Free_top: 6.488418e-03 | Free_bot: 1.394366e-02 | Load: 1.370078e-02 | Energy: -2.391416e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.476256e-04 | ImpactInv: 0.000000e+00 | Time: 0.5388s
L-BFGS Step 42: Total Loss: 3.974146e-01 | PDE: 2.290368e-03 | BC_sides: 5.421494e-05 | Free_top: 6.493250e-03 | Free_bot: 1.394294e-02 | Load: 1.370064e-02 | Energy: -2.391774e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.477411e-04 | ImpactInv: 0.000000e+00 | Time: 0.5404s
L-BFGS Step 43: Total Loss: 3.973664e-01 | PDE: 2.290959e-03 | BC_sides: 5.421297e-05 | Free_top: 6.494109e-03 | Free_bot: 1.393164e-02 | Load: 1.368765e-02 | Energy: -2.392251e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.478777e-04 | ImpactInv: 0.000000e+00 | Time: 0.5416s
L-BFGS Step 44: Total Loss: 3.972991e-01 | PDE: 2.306318e-03 | BC_sides: 5.427945e-05 | Free_top: 6.490906e-03 | Free_bot: 1.390728e-02 | Load: 1.364508e-02 | Energy: -2.393211e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.480143e-04 | ImpactInv: 0.000000e+00 | Time: 0.5389s
L-BFGS Step 45: Total Loss: 3.971586e-01 | PDE: 2.314389e-03 | BC_sides: 5.414599e-05 | Free_top: 6.472403e-03 | Free_bot: 1.385261e-02 | Load: 1.362480e-02 | Energy: -2.392719e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.482283e-04 | ImpactInv: 0.000000e+00 | Time: 0.8089s
L-BFGS Step 46: Total Loss: 3.971033e-01 | PDE: 2.337149e-03 | BC_sides: 5.427840e-05 | Free_top: 6.467923e-03 | Free_bot: 1.384351e-02 | Load: 1.358527e-02 | Energy: -2.393353e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.481431e-04 | ImpactInv: 0.000000e+00 | Time: 0.5458s
L-BFGS Step 47: Total Loss: 3.970158e-01 | PDE: 2.353165e-03 | BC_sides: 5.437278e-05 | Free_top: 6.458502e-03 | Free_bot: 1.383232e-02 | Load: 1.355880e-02 | Energy: -2.393728e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.480742e-04 | ImpactInv: 0.000000e+00 | Time: 0.5404s
L-BFGS Step 48: Total Loss: 3.969460e-01 | PDE: 2.372232e-03 | BC_sides: 5.446030e-05 | Free_top: 6.447496e-03 | Free_bot: 1.383246e-02 | Load: 1.353135e-02 | Energy: -2.393998e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.478275e-04 | ImpactInv: 0.000000e+00 | Time: 0.5419s
L-BFGS Step 49: Total Loss: 3.968557e-01 | PDE: 2.383963e-03 | BC_sides: 5.446544e-05 | Free_top: 6.425719e-03 | Free_bot: 1.382084e-02 | Load: 1.350575e-02 | Energy: -2.394374e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.477757e-04 | ImpactInv: 0.000000e+00 | Time: 0.5427s
L-BFGS Step 50: Total Loss: 3.967355e-01 | PDE: 2.402782e-03 | BC_sides: 5.454035e-05 | Free_top: 6.413158e-03 | Free_bot: 1.385332e-02 | Load: 1.347514e-02 | Energy: -2.394812e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.473965e-04 | ImpactInv: 0.000000e+00 | Time: 0.5412s
L-BFGS Step 51: Total Loss: 3.966221e-01 | PDE: 2.398893e-03 | BC_sides: 5.442565e-05 | Free_top: 6.406339e-03 | Free_bot: 1.385853e-02 | Load: 1.346985e-02 | Energy: -2.394635e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.474651e-04 | ImpactInv: 0.000000e+00 | Time: 0.5437s
L-BFGS Step 52: Total Loss: 3.965261e-01 | PDE: 2.394637e-03 | BC_sides: 5.430088e-05 | Free_top: 6.401181e-03 | Free_bot: 1.387160e-02 | Load: 1.345820e-02 | Energy: -2.394360e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.476668e-04 | ImpactInv: 0.000000e+00 | Time: 0.5468s
L-BFGS Step 53: Total Loss: 3.964173e-01 | PDE: 2.404497e-03 | BC_sides: 5.422128e-05 | Free_top: 6.397284e-03 | Free_bot: 1.388236e-02 | Load: 1.343289e-02 | Energy: -2.393652e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.476966e-04 | ImpactInv: 0.000000e+00 | Time: 0.5429s
L-BFGS Step 54: Total Loss: 3.963295e-01 | PDE: 2.417129e-03 | BC_sides: 5.425369e-05 | Free_top: 6.375320e-03 | Free_bot: 1.389734e-02 | Load: 1.337797e-02 | Energy: -2.393190e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.481543e-04 | ImpactInv: 0.000000e+00 | Time: 0.5594s
L-BFGS Step 55: Total Loss: 3.961954e-01 | PDE: 2.444908e-03 | BC_sides: 5.420700e-05 | Free_top: 6.372746e-03 | Free_bot: 1.390713e-02 | Load: 1.333394e-02 | Energy: -2.391526e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.478717e-04 | ImpactInv: 0.000000e+00 | Time: 0.5454s
L-BFGS Step 56: Total Loss: 3.960775e-01 | PDE: 2.462384e-03 | BC_sides: 5.423825e-05 | Free_top: 6.369206e-03 | Free_bot: 1.391203e-02 | Load: 1.330625e-02 | Energy: -2.390547e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.476667e-04 | ImpactInv: 0.000000e+00 | Time: 0.5448s
L-BFGS Step 57: Total Loss: 3.959997e-01 | PDE: 2.470885e-03 | BC_sides: 5.428406e-05 | Free_top: 6.364907e-03 | Free_bot: 1.391965e-02 | Load: 1.328770e-02 | Energy: -2.389891e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.475839e-04 | ImpactInv: 0.000000e+00 | Time: 0.5439s
L-BFGS Step 58: Total Loss: 3.959306e-01 | PDE: 2.478267e-03 | BC_sides: 5.432217e-05 | Free_top: 6.359298e-03 | Free_bot: 1.394667e-02 | Load: 1.325866e-02 | Energy: -2.389022e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.476145e-04 | ImpactInv: 0.000000e+00 | Time: 0.5449s
L-BFGS Step 59: Total Loss: 3.958133e-01 | PDE: 2.496343e-03 | BC_sides: 5.459195e-05 | Free_top: 6.352360e-03 | Free_bot: 1.400746e-02 | Load: 1.320108e-02 | Energy: -2.388017e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.477091e-04 | ImpactInv: 0.000000e+00 | Time: 0.5463s
